,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1981-01-31,-0.054941000000000004,-0.014887999999999998,0.009909000000000001,0.005911,0.021085,-0.059733,-0.010738,-0.012683999999999999,0.007626000000000001,0.020623000000000002,-0.05191,-0.027604,-0.020298,0.009729000000000002,0.016702,-0.07702200000000001,-0.044926,-0.012941999999999999,-0.005534,0.003923999999999999,-0.071746,-0.083592,-0.074265,-0.010036999999999999,0.009464
1981-02-28,-0.044745,-0.010535000000000001,0.0014439999999999974,0.009239999999999998,0.014397999999999998,-0.014473000000000001,0.005101999999999999,0.017419999999999998,0.024361,0.027939,0.01277,0.013629999999999996,0.027164,-0.011199,0.002852999999999998,0.0026,0.014707000000000001,0.034695000000000004,0.0026729999999999983,0.02724,0.021949999999999997,0.009414999999999996,-0.01645,0.020445999999999995,-0.016853
1981-03-31,0.060717999999999994,0.08239500000000001,0.07356800000000001,0.077655,0.06104,0.068082,0.0715,0.066319,0.06632500000000001,0.063175,0.06480999999999999,0.065899,0.06776399999999999,0.07857,0.057576,0.080443,0.055672,0.073222,0.061934,0.064868,0.017353,0.01994,-0.008875,0.02223,0.069573
1981-04-30,0.018140999999999997,0.035914,0.0246,0.036523,0.044090000000000004,0.006012,0.024744,0.026586000000000002,0.026781000000000003,0.029442000000000006,0.011806999999999998,0.023407,0.0010699999999999998,-0.001046,0.026314,-0.010849000000000001,-0.019081,-0.0060160000000000005,-0.007801000000000001,0.006252999999999998,-0.038311,-0.053508,-0.038006,0.010438999999999997,-0.040374
1981-05-31,0.038153000000000006,0.03782400000000001,0.032399,0.013389000000000002,0.016836999999999998,0.050452,0.010304,0.016889,-0.008608999999999999,0.013557999999999997,0.010845999999999998,0.027046999999999998,0.017894999999999998,0.002940999999999999,0.03970599999999999,0.02397,0.010245,0.007640000000000001,-0.0007589999999999993,0.021978,0.004288,-0.032791,-0.031355,0.026669,-0.005978999999999999
1981-06-30,-0.08365500000000001,-0.018511,-0.0006570000000000013,0.013662,0.0013539999999999993,-0.084075,-0.018518,-0.021873000000000004,-0.014653000000000001,0.0012909999999999987,-0.06203900000000001,-0.015599000000000002,-0.017497000000000002,0.009790999999999998,-0.030595,-0.065257,-0.029031,-0.006308000000000002,0.012364999999999998,-0.019266000000000002,-0.058128,-0.0019170000000000003,0.020562999999999994,-0.022094000000000003,-0.003283000000000001
1981-07-31,-0.058936999999999996,-0.044629,-0.040241,-0.031898,-0.035441,-0.037649,-0.045694000000000005,-0.020277,-0.02611,-0.032158,-0.029273,-0.033103999999999995,-0.042297999999999995,-0.041632999999999996,-0.017174,0.008124000000000001,-0.021823000000000002,-0.036878,-0.037809,-0.044147,0.0037339999999999995,0.014250999999999998,-0.032991,-0.034109999999999994,-0.006434999999999999
1981-08-31,-0.140217,-0.09864300000000001,-0.08716700000000001,-0.066224,-0.06359200000000001,-0.116057,-0.094423,-0.06521500000000001,-0.064137,-0.06918200000000001,-0.095061,-0.07283300000000001,-0.067955,-0.070147,-0.046969,-0.082169,-0.075254,-0.051995,-0.06545,-0.043411000000000005,-0.074501,-0.07944,-0.070415,-0.064107,-0.017053
1981-09-30,-0.147606,-0.09388999999999999,-0.086825,-0.078817,-0.075305,-0.11477199999999999,-0.08107099999999999,-0.078619,-0.046299,-0.067067,-0.10483899999999999,-0.071042,-0.07367,-0.028834,-0.051172,-0.106393,-0.093403,-0.07785399999999999,-0.051012,-0.055509,-0.075333,-0.073807,-0.075125,-0.034358,-0.007166
1981-10-31,0.093416,0.06820699999999999,0.071982,0.057662000000000005,0.039625,0.102082,0.046485000000000005,0.058141,0.06458599999999999,0.047152,0.095741,0.040792999999999996,0.061546000000000003,0.039636000000000005,0.029435000000000003,0.08895800000000001,0.06847,0.036961,0.029249999999999998,0.025055,0.065848,0.063049,0.014515000000000004,0.003842999999999999,0.036002
1981-11-30,-0.021529,0.009398999999999998,0.028762000000000003,0.016832999999999997,0.027738,0.005167999999999999,0.04169,0.037004,0.050691,0.045472000000000005,-0.002552000000000002,0.019128,0.032355,0.020906,0.041713,0.029392999999999996,0.030619,0.014599999999999998,0.06330699999999999,0.037661999999999994,0.025333,0.049106,0.041132,0.033716,0.026494999999999998
1981-12-31,-0.050076999999999997,-0.026392,-0.012157999999999999,-0.013575,-0.018832,-0.026501999999999998,-0.012646,-0.027127,-0.031632999999999994,-0.024111,-0.028115,-0.029970999999999998,-0.018334,-0.020683,-0.040354,-0.040167999999999995,-0.032538,-0.026083,-0.032538,-0.033183000000000004,-0.038489999999999996,-0.042735,-0.046604,-0.029311999999999998,-0.026267
1982-01-31,-0.039714,-0.013311,-0.025513,-0.02436,-0.010205,-0.062882,-0.043886999999999995,-0.041999,-0.042399,-0.005246000000000001,-0.06992599999999999,-0.043232,-0.057394,-0.027755000000000002,0.004589999999999999,-0.073411,-0.048643000000000006,-0.047297,-0.024405,-0.024513,-0.010472,-0.047096,-0.036175,-0.018952999999999998,0.006503999999999999
