Dates,0,1,2,3,4
1981-01-31,0.0016978302591854962,-0.019388977198049624,0.07554949743048155,0.00399990059459361,0.00825761158255331
1981-02-28,0.0010746663849654139,0.028294135328623203,0.03569376630771545,0.005947098773038544,0.000104091494264301
1981-03-31,5.068830267364659e-05,0.03825046362588687,0.08736718736741803,0.0009215517249939634,-0.003600371145761528
1981-04-30,0.0006054497826540887,-0.013443811713958158,0.06624798353755473,0.017124021955629516,-0.009631707992252186
1981-05-31,-0.0005751803614924551,-0.005964225706717653,0.009856494151677674,0.013745336589719201,-0.010395254057442994
1981-06-30,0.0023346035320938874,0.0008921616540794784,0.07149818380857158,0.010048176826882537,-0.0027926719116435697
1981-07-31,0.0002864233461923679,0.0024544517675562823,-0.025827036085479364,0.009895226308100285,0.012240564726177504
1981-08-31,0.0016471376454040719,-0.007118840909657927,-0.04330523863202661,0.020014097009966158,0.0050376671630289254
1981-09-30,0.0012538958360796863,0.0053717816090476656,-0.06259138057882484,0.037050108505906995,0.0036669839884727303
1981-10-31,-0.001732439394535166,0.036727359935668315,0.01836869894400395,0.01621649992214014,-0.0002801904171671312
1981-11-30,0.0004986966910109089,0.05382298332405067,0.01937809109788649,0.008570262954171879,-0.0030977591732957426
1981-12-31,0.0002843527210660819,-0.0037781598799921192,-0.013380959580679414,0.025187648859316677,0.0009283166074543878
1982-01-31,0.00033062283639341875,-0.034460265652771264,0.006299898517417848,0.0233380016609823,0.008299996127723842
1982-02-28,0.0016092989048881157,-0.0189340351131715,0.010111902007118971,0.02394012590803921,-0.0051949965471870165
1982-03-31,0.0007452606723305894,-0.00340777831480394,0.017308431624417666,0.0178109451048873,0.0032839979414948286
1982-04-30,-0.0007538293620982053,0.008146763590520982,0.039134439219070595,0.014489578707613754,-0.0006970989024950737
1982-05-31,0.0006431179115369826,-0.023725469161289765,-0.002920708881670418,0.019481983149173977,0.002706034817946902
1982-06-30,0.0006154287842285484,-0.009307034386218223,-0.014931720253974075,0.02763786117130271,-0.00521609106542016
1982-07-31,0.0006008505721035408,-0.01713550567254374,0.0028637058705998524,0.024034996622189598,-0.007856236593632795
1982-08-31,-0.0006770699146319205,0.08750379349600676,0.0250467522862861,-0.010139276356352134,0.008941077325908561
1982-09-30,0.000562319161082813,0.012790512120084089,0.06499870353513823,0.019134026684831305,-0.01077858377410307
1982-10-31,-0.0017508657139938372,0.05416526288729972,0.09049194278193878,0.0017491815719601937,-0.0022984531439454348
1982-11-30,-0.00022215201879855934,-0.004721515908559853,0.11393752273028102,0.015981924207577127,-0.023094950709851944
