Dates,0,1,2,3,4
1986/12/31,-0.001745688,-0.00024088,-0.020028985,-0.000229682,0.01289128
1987/1/31,0.010655959,-0.001035953,0.058829852,0.008027401,0.000971883
1987/2/28,0.001968072,-0.001952588,0.031482458,0.012258288,0.003009579
1987/3/31,0.005005749,0.003274939,0.019488135,0.014204129,-0.000401097
1987/4/30,0.005031259,-4.41E-05,-0.008065488,0.000630412,0.00904599
1987/5/31,0.00075605,0.001115989,0.009070376,0.002654338,0.006749983
1987/6/30,-0.002890956,0.002983401,0.015594784,0.008250998,0.003463711
1987/7/31,-0.001188817,0.001240702,0.015441614,0.002064262,0.004654649
1987/8/31,-0.004183897,-0.000392405,0.009561774,-0.000239672,0.010350077
1987/9/30,-0.002228538,0.00113727,-0.006385007,0.004946189,0.0072693
1987/10/31,0.008197042,-0.003310377,-0.148868929,-0.019514982,0.039032539
1987/11/30,-0.000846917,0.003080647,-0.021310943,0.001011203,0.017622147
1987/12/31,-0.001879047,-0.005039732,-0.012544127,0.011674155,0.010414092
1988/1/31,-0.00076272,-0.001269078,0.043762159,0.001956135,0.01169387
1988/2/29,-0.002040618,-0.001732373,0.020681486,0.008665043,0.006864365
1988/3/31,-0.002053736,0.001324443,0.011655643,0.011673586,0.002127629
1988/4/30,-0.000351303,0.000326037,0.006561143,0.003603884,0.005702514
1988/5/31,0.001035556,0.000452554,-0.004861732,-0.00583338,0.009240271
1988/6/30,-0.00380151,0.000532099,0.025261016,0.007351596,0.004323404
1988/7/31,0.000128667,0.003019209,0.006441069,0.003461388,0.003277312
1988/8/31,-0.001715108,0.002149726,-0.013882976,0.003295907,0.006148627
1988/9/30,0.000453662,-0.003602756,-0.009499504,0.004365258,0.012520249
1988/10/31,-0.003388538,0.002675081,-0.004831298,0.002429788,0.006102585
1988/11/30,-0.001100911,-0.000918053,-0.031355606,-0.001179634,0.010176445
1988/12/31,0.003334852,-0.000442969,0.005487687,0.009042335,0.002494992
1989/1/31,0.009822928,-0.001847744,0.03218076,0.002705716,0.003155126
1989/2/28,-0.002152808,0.003261419,0.005609508,0.007671778,0.0071354
1989/3/31,0.001824454,0.000954535,0.002612158,0.007722422,0.005301002
1989/4/30,0.000559885,0.002399418,0.022096131,0.004849307,0.002961092
