date,q5mkt,q5me,q5ia,q5roe,q5eg
198012,-4.594,1.072,0.9228,-1.3007,0.1451
198101,-4.994,3.7136,2.4284,-4.8625,0.5626
198102,0.5716,-0.0128,1.8933,0.7188,1.6871
198103,3.4503,3.4407,-1.7882,-1.3251,-1.8552
198104,-2.1749,4.1822,2.3542,1.3307,1.0888
198105,0.1985,2.4679,-0.5217,-0.0417,1.6626
198106,-2.5099,-0.7592,2.7179,-0.0395,1.9106
198107,-1.4904,-1.6009,-1.9549,3.1499,-0.6191
198108,-7.0074,-1.3999,1.212,0.7439,2.2329
198109,-7.179,-1.6999,3.5847,0.6353,3.9739
198110,4.9276,1.9648,-1.0037,4.7524,-1.0121
198111,3.3194,-1.5096,0.4675,0.5365,1.9895
198112,-3.6308,1.2699,1.9064,-0.4911,1.3694
198201,-3.1709,-0.2738,2.0678,-1.437,0.8418
198202,-5.8456,0.5093,4.7787,0.3372,3.5564
198203,-1.9771,0.6494,1.7936,-1.6858,2.4862
198204,3.2698,0.46,1.1662,1.9106,0.7097
198205,-3.8098,-0.4029,-0.5056,-0.5057,0.9597
198206,-3.1715,1.139,2.7958,0.1052,3.4237
198207,-3.1612,1.7077,2.0544,2.7536,3.8311
198208,11.0525,-3.4331,-0.505,-1.2626,-2.9382
198209,1.2969,3.0825,1.0496,3.5356,3.5036
198210,11.3367,0.904,-1.0797,-0.7302,-0.9991
198211,4.587,4.466,1.4721,3.1813,3.8231
198212,0.6062,-0.7888,0.3665,-0.7166,-0.2713
198301,3.5939,2.2053,-0.8305,-2.4005,-1.897
198302,2.5819,3.7613,1.6194,3.0421,2.0265
198303,2.8195,1.5925,2.8987,1.126,2.0409
198304,6.6887,-0.3492,2.1808,0.5583,2.3291
198305,0.4543,6.1099,-1.4387,-3.5765,-3.8352
198306,3.0717,2.0999,-1.1252,1.5529,2.6153
198307,-4.0181,0.6757,2.7773,1.1624,2.9737
198308,-0.5699,-4.6776,1.2103,-0.4173,0.3917
198309,0.9031,0.4313,1.3323,3.2539,2.9064
198310,-3.4257,-3.8621,2.641,1.6359,3.7354
198311,2.1443,2.08,1.1119,-0.2172,-1.7498
198312,-1.7478,-1.1451,1.3102,-1.5496,1.0785
198401,-1.9567,-1.0195,2.3766,-3.7268,0.8835
198402,-4.7811,-1.8015,0.8912,-0.7739,0.6762
198403,0.6341,-0.129,0.6814,-0.6322,1.2598
198404,-0.5127,-0.9136,1.0722,2.1374,2.4198
198405,-5.9695,-0.4435,-1.4646,1.78,1.7731
198406,1.8032,0.4576,-2.2742,1.815,0.6613
198407,-2.7937,-2.3059,-1.3356,3.6298,2.97
198408,10.288,0.2282,-0.428,0.9652,0.0264
198409,-0.7722,-0.7184,2.5924,0.1676,1.184
