date,q5mkt,q5me,q5ia,q5roe,q5eg
201104,2.8954,-0.8838,-0.9692,1.5871,1.0881
201105,-1.2689,-0.8715,-1.0161,0.1308,1.3797
201106,-1.7419,0.4603,-1.152,2.8109,1.0009
201107,-2.3488,-1.7742,-2.0383,0.7348,0.659
201108,-5.9801,-3.7196,-1.3168,2.562,2.7195
201109,-7.5695,-4.7805,0.0766,-0.7641,4.899
201110,11.3324,5.1816,-0.5881,2.1402,-1.7028
201111,-0.2796,-1.1335,1.5253,0.5804,1.2147
201112,0.7396,0.1225,2.6695,1.1493,-0.6067
201201,5.0531,2.7843,-0.574,-0.6313,-1.312
201202,4.4179,-0.6734,0.0789,0.2919,0.0126
201203,3.1094,0.7124,1.4304,1.658,1.7917
201204,-0.8431,-1.1503,0.9546,1.001,-0.3668
201205,-6.171,-0.8859,2.6812,1.6158,2.338
201206,3.8919,1.492,1.0221,-1.7624,0.3348
201207,0.7869,-3.0753,0.5147,1.5424,0.9827
201208,2.5482,1.4133,-1.4557,-0.497,-0.4037
201209,2.7322,1.1788,1.1835,0.1886,-0.6612
201210,-1.7522,0.2195,1.8577,0.4583,-3.7334
201211,0.7763,0.3564,0.8217,1.7154,0.152
201212,1.1755,2.4232,-0.8302,-1.9967,-2.6321
201301,5.5689,0.1915,1.5404,-2.0971,-1.638
201302,1.2861,-0.615,0.7541,0.1036,0.4262
201303,4.0339,1.0765,1.292,0.487,-1.161
201304,1.5537,-2.8557,0.1152,-1.0136,-0.2819
201305,2.8026,3.5166,-1.6526,-0.3975,-1.4219
201306,-1.1911,0.7617,0.7006,-0.1341,0.5964
201307,5.6434,2.0945,0.6474,-0.4746,-1.124
201308,-2.7045,-0.208,-1.7841,0.5497,0.1587
201309,3.7668,2.4397,-0.7254,-0.9967,-1.0133
201310,4.1692,-1.6177,1.1611,1.337,0.7823
201311,3.1222,1.9293,0.0148,1.5473,1.2051
201312,2.8046,-0.4381,0.7392,-0.1739,-1.7385
201401,-3.318,0.3303,-0.2918,-2.3112,0.3524
201402,4.6489,-0.3064,-0.6297,-1.4762,-0.0343
201403,0.4309,-0.1623,2.7038,1.7701,1.5414
201404,-0.1877,-4.6866,0.8015,1.0756,0.6894
201405,2.0616,-2.0366,-0.9378,-0.6562,0.5021
201406,2.6074,2.2426,-2.6584,-2.5842,0.2626
201407,-2.0374,-3.5626,0.7158,1.1954,1.2346
201408,4.2326,0.4495,-0.9247,0.1376,0.233
201409,-1.9679,-3.1032,-0.3111,3.0595,2.1813
201410,2.5083,3.6349,0.5516,1.7167,-0.1556
201411,2.5472,-2.0077,0.2967,2.4103,0.4488
201412,-0.0601,2.7686,0.4711,-0.652,0.2952
201501,-3.1017,-1.5654,-1.0529,-0.3354,1.4077
201502,6.1301,0.8189,-1.3982,0.0923,-0.8935
201503,-1.1028,2.8166,-0.2615,0.8324,-0.018
201504,0.5907,-3.7918,-0.8011,-2.1972,-0.2334
201505,1.3612,1.735,-0.612,1.4466,0.2893
201506,-1.5273,2.8606,-2.4461,1.2477,-0.6691
201507,1.5462,-4.0769,-2.7366,4.3394,2.6044
201508,-6.0265,0.5025,1.1604,0.7607,0.2546
201509,-3.0702,-3.3863,0.3173,4.2461,3.4688
201510,7.7465,-2.783,0.6276,-2.3746,1.0524
201511,0.562,3.4693,-0.5508,-1.7131,0.4729
201512,-2.1658,-2.0882,0.328,2.9245,3.2155
201601,-5.756,-2.8219,2.7808,5.3238,4.792
201602,-0.0738,0.4861,1.7188,2.0303,-0.1342
201603,6.9541,1.0415,-0.7057,-2.124,-2.7595
201604,0.9179,0.1063,1.2916,-7.2347,-5.2387
201605,1.7718,-0.5063,-2.265,0.9582,2.2386
201606,-0.0422,-0.3453,0.5038,0.2537,-0.874
201607,3.9508,2.3329,-2.1967,-0.5197,2.2517
201608,0.497,0.9481,-0.193,-2.4067,-0.3863
201609,0.2636,0.9906,0.2104,-3.1894,-0.9297
201610,-2.0217,-3.41,0.8077,3.0288,2.0286
201611,4.8631,6.4972,2.913,-1.1087,-2.5273
201612,1.8153,0.6248,-0.2604,1.53,0.8567
201701,1.9357,-1.877,-2.0676,-1.3148,0.6337
201702,3.5594,-1.6847,-2.2535,2.0022,2.3822
201703,0.1676,1.2369,-1.3076,1.8774,1.2449
201704,1.086,0.576,-1.5408,1.0121,1.684
201705,1.0602,-2.5609,-1.6597,1.3181,2.6917
201706,0.7961,3.0378,-0.4684,-1.29,-1.8761
201707,1.8657,-1.1248,-0.4301,1.5305,1.0232
201708,0.1617,-1.4073,-2.8366,0.4774,1.5301
201709,2.5062,4.9092,3.1398,0.4383,-1.7976
201710,2.2519,-1.3238,-3.2968,1.4109,2.8974
201711,3.1198,0.2046,-0.4945,1.8721,1.1391
201712,1.0539,-0.9144,1.7407,0.3282,-1.0643
201801,5.5753,-2.7664,-1.293,-1.2928,2.6001
201802,-3.6478,0.1879,-1.6978,-0.764,4.466
201803,-2.2541,2.8131,-0.1096,0.1904,0.4646
201804,0.2834,0.2739,1.5854,-0.0276,-0.8116
201805,2.6466,4.7956,-1.214,-1.8397,2.242
201806,0.4887,0.6253,-0.393,1.4276,0.0886
201807,3.1964,-1.3092,0.4743,1.9927,1.4167
201808,3.4459,1.4355,-2.334,0.3874,4.1681
201809,0.0589,-3.0639,1.422,0.7044,0.973
201810,-7.6474,-4.7588,4.1721,1.298,-0.7515
201811,1.7054,-0.8371,-0.9318,0.6989,2.7812
201812,-9.5432,-3.0732,-0.8158,1.3127,2.5216
201901,8.4128,2.0385,-1.0008,-4.0017,-7.1495
201902,3.3944,1.1523,-2.5575,0.5466,1.2502
201903,1.1031,-3.3245,-0.5028,-0.0494,0.6624
201904,3.9574,-0.233,-2.5445,2.0809,1.0648
201905,-6.9261,-1.9122,1.495,0.7321,0.169
201906,6.9244,-0.5222,-0.3023,-0.1628,-0.3229
201907,1.2207,-1.5982,0.1843,0.5193,1.3086
201908,-2.6036,-4.1989,-1.0035,1.8977,1.4881
201909,1.4305,1.4387,2.9671,1.6995,-1.8666
201910,2.0588,0.8309,-0.64,0.8606,1.945
201911,3.8643,0.0197,-1.029,-1.2984,-0.6457
201912,2.7659,1.2755,1.804,-1.3106,-0.8055
202001,-0.0927,-4.7408,-2.4131,-0.4183,2.4784
202002,-8.1294,-1.3645,-2.2233,-0.4449,1.4416
202003,-13.3787,-8.3933,2.1259,5.8489,11.8307
202004,13.5916,3.3014,-0.1369,-2.1095,-2.2196
202005,5.5815,2.4767,-3.7098,-0.6147,0.6912
202006,2.4587,2.2933,0.2533,1.1584,1.7125
202007,5.7694,-1.4121,-1.2834,3.4213,1.7869
202008,7.6269,-2.224,-2.7625,-0.7472,-1.6586
202009,-3.627,0.2818,-2.2241,1.1241,0.8326
202010,-2.1007,2.8259,-0.6775,-2.5423,0.0772
202011,12.4689,4.0371,3.294,-14.4379,-9.6046
202012,4.6309,4.192,-2.7803,-4.1554,-0.9909
202101,-0.0188,8.4978,6.367,-1.9661,-7.2774
202102,2.7754,4.452,-0.9147,-6.1641,-5.474
202103,3.0836,-0.6441,4.6971,4.4869,-1.476
202104,4.9225,-2.9242,-3.4483,2.0464,2.1879
202105,0.2861,1.8365,4.3494,2.6254,-1.7836
202106,2.7487,-0.0955,-2.4309,-1.1643,3.7346
202107,1.2671,-3.0542,-1.4863,7.6337,5.2153
202108,2.9041,-0.8165,-1.9834,1.2464,2.2894
202109,-4.369,0.773,3.2602,-1.7508,-4.7885
202110,6.6475,-1.9691,-2.2881,3.4088,3.5182
202111,-1.5461,-0.5887,-0.3563,8.6032,4.9244
202112,3.1025,-0.554,5.2855,3.8004,1.1868
